,Is_Unreliable,Category,Tweet,Test_Fold
22,1,"6, 7","Hey Americans? Imagine #coronavirus in #US. Schools closed, Humans locked inside homes. Better to prepare for something",3.0
23,1,"6, 9, 11, 15",And we're only about a day from MAGA world declaring that the Coronavirus was designed by noted genetic engineer Hillary,4.0
24,1,16,The President is telling people to buy stocks rather than helping to educate them about how to avoid coronavirus.,4.0
25,1,"9, 10, 14, 16",I agree. Coronavirus will be used by the fossil fuel industry and auto industry as air cover for negative secular trends,4.0
26,1,4,It appears that apartment buildings are being sealed shut in some parts of China hard hit by #Coronavirus. ,5.0
27,1,"6, 10, 16",The Coronavirus proves Trump was correct again. The US must rebuke Globalism and be self sufficient in all aspects of,8.0
28,1,"9, 10","If the #Coronavirus crisis makes anything clear, it’s that we need to stop relying on #China for our critical medical supply",8.0
29,1,"6, 15",Professor Emerita of U.C. Berkeley School of Public Health Says ‘MAGAts’ Not Prepared for Coronavirus https://t.co/a67qmzcQEy,5.0
30,1,"6, 8, 11",#Chinese city of #Shenzhen to ban eating #cats and #dogs as part of moves to stop spread of #coronavirus South #China,1.0
31,1,"5, 9, 11",This is the complete DNA of the Coronavirus (SARS-CoV-2). We are being attacked by a 8 kilobytes virus. Remember this,4.0
32,1,"1, 2, 5, 15",The Usual Suspects Try To Find A Way To Blame #PresidentTrump For The #CoronaVirus ATTN Pathetic Pelosi People Who Kill,8.0
33,1,"2, 5, 6, 11",GOING VIRAL: Lysol Spray is known to kill ‘versions’ of human Coronavirus- it’s on their product labels #Lysol,2.0
34,1,"3, 6, 10",CNN Has Been Deliberately Trying To Incite Panic With #PresidentTrump Has No #CoronaVirus Plan  Talking Points  Watch,10.0
35,1,"2, 17",WATCH: @chrislhayes on Trump’s attempt to downplay the coronavirus spread in order to help his re-election,8.0
36,1,"1, 16","Janet Yellen has just said Coronavirus could ""put the US into a recession."" And that's the plan folks. All the hype for ",6.0
37,1,"2, 10, 11, 13",Can we PLEASE stop spreading the lie that Coronavirus is super super super contagious? It's not. It has a contagious rating of TWO,5.0
38,1,11,A Harvard epidemiologist now predicts 40-70% of the world population will get coronavirus in the next year. The virus has,6.0
39,1,"3, 16","The best advice for investors amid the coronavirus scare, the TSX stock handing out special dividends, and GICs to avoid",1.0
40,1,"6, 11","38% of Americans won't buy or drink Corona beer because of the #Coronavirus Once you've grasped that, Trump's Presidency",9.0
41,1,"10, 15",China concerned Western authoritarian government will cover up coronavirus outbreaks #CoronaVirusUpdates #COVID19,8.0
42,1,"5, 6, 10, 14","Donald Trump is battling the coronavirus with people who think science is a fraud, the Earth is flat, and Jesus chased dinosaurs off the edge of the world to make room for Christians. #TrumpVirus",4.0
43,1,11,Post Exclusive: Trump administration sent U.S. workers to greet returning coronavirus victims without protective gear,9.0
44,1,"1, 6, 9","I think Pence is being used as Trump's coronavirus scapegoat. If it becomes a pandemic in the US, Trump will blame Pence",7.0
45,1,"1, 5, 11","Reports on 60 #coronavirus cases in Iran with 9 of them dead already. Similar to #China, the Iranian government is hiding",5.0
46,1,2,UPDATE: The Chinese Communist Party (CCP) now admits to an internal report showing the Coronavirus did not originate from the Huanan food market as they initially stated.,3.0
47,1,16,Trump asserts coronavirus 'under control' as stocks plunge. It’s so well controlled that tRump and Melania should have to have to wear masks when they return to the United States.  Being confined until 2021 would also help make America a safer place to reside.,8.0
48,1,"7, 8",Chinese People Eating Bat Soup Linked to the Coronavirus-Video,5.0
49,1,"3, 8",Didn't Trump announce a Coronavirus task force and then everyone got mad that there were too many white men on it?,9.0
50,1,16,South African cops will take a bribe &amp; let the guy go #CoronaVirus #CoronaVirusUpdates,5.0
51,1,10,"Trump is now spreading rank conspiracy theories in the face of coronavirus. This isn't just Trump ""flooding the zone with chaos."" It's much more pernicious. Trump is trying to dodge accountability for his own response to a public emergency.",8.0
52,1,1,"Azar refuses to promise a coronavirus vaccine will be affordable for anyone:""We would want to ensure that we work to",9.0
53,1,8,Hong Kong finds the coronavirus in samples from a pet dog. Can the illness be transmitted to pet,9.0
54,1,"4, 9, 3",My friend was at O’Hare today and heard people laughing at the idea of washing hands to prevent coronavirus.,3.0
55,1,15,"hey #TrumpTrain #WHO official warns that #Trump is '""ignorant"" about #coronavirus and doesn't understand public health ",1.0
56,1,"11, 5, 9, 3","It’s less surprising that 38% of Americans said they won’t buy Corona beer because of the coronavirus when you remember that 30% of Republican voters once said they’d approve of bombing Agrabah, the fictional city in Aladdin.",4.0
57,1,"5, 1, 2, 3","Trump is trying to weaponize Coronavirus against immigration, blaming what he calls “the Democrat policy of open borders” for the “direct threat to the health and well-being of all Americans.” That’s INSANE. His demagoguery is now a clear and present threat to every one of us.",4.0
58,1,"2, 13, 9",YOU ARE NOT HALLUCINATING STEVEN MILLER'S NEW WIFE IS IN CHARGE OF APPROVING ALL CORONAVIRUS COMMUNICATION. WTF,10.0
59,1,"9, 1, 3",This is so outrageous I think I’m in shock. This was today! Trump can not gaslight the Coronavirus away,6.0
60,1,"9, 3, 12",We don’t have to worry about the coronavirus spreading here. Americans are smart enough to not spread their germs,5.0
61,1,"1, 3, 10","tRump is muzzling gov scientists and health experts, forbidding them from speaking about the coronavirus pandemic",8.0
62,1,4,"Since the outbreak of the coronavirus, has anyone from the Left suggested closing our Southern border? Wouldn't that",9.0
63,1,"8, 6","When Trump blocked Chinese travel to prevent the spread of Coronavirus, Chuck Schumer called it racist.",2.0
64,1,"6, 13, 10","Kristina Fischer on Fox News just said that the President called the coronavirus the Democrats's ""new hoax."" Wrong, dogbreath",9.0
65,1,"9, 1, 6, 10","Just so we’re all clear on this: The Democrat #coronavirus plan is to blame Trump, then hope that a whole bunch of Americans",7.0
66,1,"3, 10",Trump last night: coronavirus is a hoax; and his supporters should dishonestly vote in the Democratic primary for his weak,4.0
67,1,"10, 6","the expert is not being permitted to speak in the U.S. about #coronavirus. Rather, it’s the Trump &amp; Pence",5.0
68,1,"9, 8, 4",I see #cdnmedia are beginning to move on from the coronavirus-racism story to the blockades-racism story #cdnpoli,2.0
69,1,"9, 11, 4",if u  have coronavirus come see me in person i will show u the strength of my immune system,3.0
70,1,"15, 11",MAGA hats are made in China and may be infected with the Coronavirus. The only safe way to sanatize the hat is to burn it. ,1.0
71,1,10,"Pretty sure Trump thinks this coronavirus thing can be made better, or worse, with a letter from his doctor.",10.0
72,1,"5, 10, 9","“The UK is well-prepared to deal with coronavirus” says No 10, in surest sign yet that we’re all going to die.",1.0
73,1,"2, 4, 15, 16","America is not for sale!!! The deep state pushing coronavirus in attempt to stall economy, Hear it here on the X-22 Report",1.0
74,1,"3, 8",Tensions are running high across the world because of the #Wuhan #Coronavirus. Here is a video of 2 men getting into a fight,5.0
75,1,"4, 11",CDC suggests people shave facial hair to avoid contracting coronavirus - National,2.0
76,1,"15, 9","I’ll bet all those anti-vaxxers aren’t gonna be so anti-vaxx when it comes to the #coronavirus, are they?",2.0
77,1,"2, 1, 12, 6",With a LOOMING #CORONAVIRUS PANDEMIC #Trump Is Tweeting About #FoxNews RATINGS He wanted to demonstrate that he is super super continent,2.0
78,1,"3, 6, 9","Sir, Americans are worried that you’re not the best choice to manage the Coronavirus pandemic. Pence: Nonsense. ",1.0
79,1,"2, 9, 6, 7",Asia : CORONAVIRUS IS LOOSE! U.S.A.: OUR PRESIDENT IS LOOSE! Canada: Saving the kitty.  This is why I love our country,2.0
80,1,15,Coronavirus isn't nearly as dangerous to America as the severe case of #Donorrhea they have! Donald Trump Jr. rants Democrats,10.0
81,1,"3, 6",Geraldo Rivera: 'Deeply disappointed' that the left has used coronavirus to 'ridicule' Trump #FoxNews,1.0
82,1,"2, 11",HUGE BREAKING NEWS: Israeli Researchers on Cusp of Creating Coronavirus Vaccine -- Could be Ready in a Few Weeks and Available,2.0
83,1,"9, 11",Is this what we are to expect  from our medical experts if the coronavirus takes hold 'Treating the elderly would be sacrificed ,1.0
84,1,"9, 10, 17",What you are watching with the CoronaVirus has been planned and orchestrated. We are 8 months from the next Presidential elections,2.0
85,1,"10, 8, 15",Islamic Republic of liers and crooks! How Iran’s coronavirus outbreak began,7.0
86,1,"2, 5",BREAKING: Half of Italy is under MARTIAL LAW for the CoronaVirus. an area of 20 Million people in Forced Quarantine.,1.0
87,1,1,Trudeau is Canada's biggest threat The horribly incompetent and irresponsible way his team handled Coronavirus He refused,10.0
88,1,16,Trump offhandedly saying coronavirus is good for the American economy because people won't leave and spend money in other,2.0
89,1,5,"Boomers: the Coronavirus is important, because it kills people over 60, let's close the borders",3.0
90,1,"2, 11, 9",SAFETY ALERT The coronavirus can be spread through Masters badges. If you’ve received your 2020 tickets in the mail ,1.0
91,1,"1, 10",That both Dem candidates are not cutting and running endless ads about why the current coronavirus crisis exposes the catastrophy,10.0
92,1,"11, 9, 7",The coronavirus is all in ur head...  Just go for a walk or try meditate. U got this!!!,4.0
93,1,"2, 11, 7, 17",JOE BIDEN LITERALLY SAID HE'LL VETO MEDICARE FOR ALL. DURING THE CORONAVIRUS OUTBREAK. ON TV. THIS MAN IS NOT ELECTED,3.0
94,1,"2, 16, 9",CORONAVIRUS LOOPHOLE!!!!! If you don’t have insurance and can’t afford to take the $3200 test for the virus $1000 with insurance,4.0
95,1,"11, 10","EOIR has ordered immigration court staff to remove CDC posters designed to slow spread of coronavirus. No, this is not a parody account.",8.0
96,1,10,President - who said last night that #coronavirus is a “hoax” - will hold a news conf. 1:30 ET to discuss it,6.0
97,1,11,"Mashhad, NE #Iran Man collapses possibly due to coronavirus. Such scenes are becoming the new norm in Iran. Reminders",6.0
98,1,"10, 11",Pence caught in lies about insurance covering coronavirus test kits https://t.co/ghctYmKA36 #mustread #feedly,8.0
99,1,"9, 2, 14",and that's a no from me… Videos show Iranians LICKING holy shrines despite #coronavirus outbreak,10.0
100,1,"16, 11",#coronavirus #virus Reasons to buy back stocks today 1500 new cases 60 deaths 2700 recovered #markets #portfolio,8.0
101,1,"14, 11, 10",Ayatollahs’ solutions to the Coronavirus (and all other viruses): 1- Dip a cotton in oil and place it inside the anus before you sleep. 2- Take a bottle of water to a cleric and have him spit inside it for blessings before drinking. Not a joke.,1.0
102,1,9,"Because of the Coronavirus, we will no longer set out meeting leftovers in the staff kitchen. Except the good cookies from",10.0
103,1,3,President Trump has a personal responsibility to visit &amp; embrace all people in the US who contract #Coronavirus!,5.0
104,1,10,"If the Israelis do end up finding a vaccine for the coronavirus, the NYT is roughly 100% likely to write an unironic ",2.0
105,1,"9, 7", @D19VP @Sflecce You’ve fallen behind.  Now it’s all about the coronavirus. That’s the new reason a deal can’t be reached,9.0
106,1,11,Is your meth contaminated with coronavirus? This Florida police dept. will test it for free,10.0
107,1,7,TRUMP: Coronavirus is under control. CDC: Spread is inevitable. TRUMP: The media is trying to make it look worse than,7.0
108,1,"5, 2, 11","First WWIII, then coronavirus, now an asteroid????? What is 2020??? We’re defs all dying by the end of the year",5.0
109,1,"2, 16, 12, 9, 3",Please don’t be ALARMED ...but CORONAVIRUS will soon spread irreversibly through BANKNOTES. If you have any BANKNOTES,2.0
110,1,"3, 11",What a dangerous idiot! Trump urged people infected with coronavirus to go work. This contradicts CDC  guidance that people,5.0
111,1,"2, 4, 16",WATCH: Rick Santelli suggests infecting everyone with coronavirus — to lessen the economic impact,6.0
112,1,9, @littledeekay @realDonaldTrump My ears are not hit by windmill cancer yet! You said people who have the #Coronavirus but,7.0
113,1,"1, 4",The man believed to be coronavirus patient zero in Italy is a Pakistani migrant refused to self-isolate after testing positive,4.0
114,1,3,Australian shopper 'draws knife' in fight over toilet paper amid coronavirus stockpiling,3.0
115,1,2,"NHS ENGLAND HAS DECLARED CORONAVIRUS A ""LEVEL 4 INCIDENT"" WHICH IS THE HIGHEST LEVEL OF EMERGENCY- SKY NEWS",7.0
116,1,1," @realDonaldTrump Perfect. Just when States need more funding to fight the Coronavirus. You are pathetic, evil man. #VoteBlueNoMatterWho2020 #VoteBlueToEndThisNightmare",4.0
117,1,15,"Apparently Obama not only invented coronavirus, he also invented paper cuts, calories, standardized testing and the DM",2.0
118,1,"1, 11","8% of Iran parliament has #coronavirus &amp; it released 54,000 prisoners Iran is descending into chaos, the gvmnt incapable of",2.0
119,1,1,Doctors tell Florida woman she ‘likely’ has coronavirus but refuse to test her for it,5.0
120,1,11,Miracle: Coronavirus Passes Over Houses With Chick-Fil-A Sauce Smeared On Door Posts,7.0
121,1,"13, 9, 3",Is it just me or is Trump’s lying crap about the Coronavirus infinitely less credible (and infinitely more dangerous),10.0
122,1,2,#coronavirus Sale on at @WiseGuysLiquor! Buy a 24 Of Corona and receive a free roll of toilet paper!! Cashmere 2 ply!!,6.0
123,1,"2, 11",BREAKING: Leading virologist confirms the coronavirus is spread solely by men. Dr B.J. Hardick explained:,6.0
124,1,"10, 9",Coronavirus Data Is Still Misleading. Here’s What the Latest Numbers Don’t Tell You,3.0
125,1,"8, 6","What's going to happen , When one of LA, SF, Seattle or Portland's Zombie homeless junkies contract the Coronavirus .",6.0
126,1,"16, 11, 9",Cash Could Be Spreading Coronavirus The World Health Organization now advises to limit or cease your interaction,4.0
127,1,"15, 16","the coronavirus isn't here to convince Free Market Fundamentalists that nature's rules not the stock market's are what dictate reality, but it's doing that work.",7.0
128,1,16,The CDC is now using a company for coronavirus test kits that Trump previously owned stock in and there has been no,9.0
129,1,"8, 10",The media claims its racist and xenophobic for @RepGosar to call coronavirus the Wuhan Virus.  lol these people have no integrity,7.0
130,1,"3, 11","Senior German doctor says #coronavirus is a hysterical media infection, compares the virus to flu. So the governments of China",10.0
131,1,10,Somebody ought to get up a conspiracy theory to the effect that the coronavirus is a put-up job run by the multinational,2.0
132,1,"11, 3",The SARS-CoV-2 coronavirus is surrounded by fat. Soap is MORE effective at dissolving the fat and killing the virus than,1.0
133,1,"4, 11","CNBC anchor Rick Santelli suggests it would be better to let everyone get infected with Coronavirus, so that 2% of the",7.0
134,1,10,Trump Flatly Admits He'd Leave Americans Stranded to Hold Coronavirus Numbers Static,8.0
135,1,"13, 2",Bro she lied about having coronavirus symptoms so she wouldn’t have to sleep on the street LMFAOOOOOO,9.0
136,1,"5, 16",#coronavirus was always more of an economic than a health threat. It's never been about mass deaths. It's because thing,7.0
137,1,16,"Oil prices probably will guide the Bank of Canada through the early phase of the coronavirus crisis, @CarmichaelKevin writes",2.0
138,1,"9, 3",Let me get this straight:Democrats and the mainstream media are trying to incite panic over the Coronavirus,9.0
139,1,"13, 3",Coronavirus Hell...Depending on China for Manufacturing Medical Supplies OR Medicine is Pure Stupidity!,6.0
140,1,"5, 11",Intelligent People Know that the Death Ratio Between The Flu and Coronavirus are like Apples and Oranges!,1.0
141,1,"5, 16, 12",Thousands have died #Coronavirus. The stock market has collapsed. Recession may be imminent. And the so-called,3.0
142,1,15,#TrumpLies can’t fix #coronavirus but #MoronInChief @realDonaldTrump only has one tool in his toolbox and that’s hyperbole,8.0
143,1,"2, 3, 10, 17",Fox Host Goes BONKERS and Claims that Dems Want to Use Coronavirus to Impeach Trump,6.0
144,1,3,Paranoia Will Destroy Ya! Trump Melting Down: Fears Someone in the Press Will Give Him #Coronavirus On Purpose.,1.0
145,1,"10, 5","At CPAC, Mick Mulvaney rattled off his cuckoo coronavirus hoax theory, claiming liberals and the media are weaponizing",1.0
146,1,"3, 16",On the Hub: What if the real epidemic is Market Fear?  #stocks  #volatility #coronavirus via,6.0
147,1,17,Donald Trump is treating the coronavirus as something that could negatively impact his 2020 campaign rather than somethi,6.0
148,1,"5, 3",Melania Trump Tantrums Over White House Tennis Pavillion As Coronavirus Kills Americans,1.0
149,1,11, @berezin_goal Same goes for the one in Newmarket. People dont realize Coronavirus is literally less effective than the common cold smh,3.0
150,1,11,#Coronavirus has everyone stockpiling hand sanitiser — but how effective is it? This graphic takes a look!,6.0
151,1,"11, 9, 5","56,000 confirmed coronavirus patients have been discharge But the media talks about “the first death in the Netherlands” But that’s none of my business",7.0
152,1,"4, 11","#RickSantelli suggests it would be better to let everyone get infected with #Coronavirus, so that 2%",5.0
153,1,"10, 7, 2, 16",This MUST be exposed. NOW. GOP blocking coronavirus bill — because it limits how much drugmakers can charge for a,3.0
154,1,"11, 9","#CoronaVirusChallenge Wear condoms on your hands.  If it can stop HIV, it can stop CoronaVirus, that's my theory.",4.0
155,1,"9, 13, 3","I’m not trying to ring alarm bells, but we might all be fucked.  #CoronaVirusSeattle #coronavirus",1.0
156,1,"4, 11, 6","it seems that - WHO produced this CoronaVirus - has spread it in 4 different countries: China Iran 10,000 deaths",9.0
157,1,"1, 10",Mike Pompeo refuses to say coronavirus is not a hoax. @tedlieu: You can’t even say it’s not a hoax? Trump: Deny it’s a,5.0
158,1,9," @POTUS, @VP and our nation’s health professionals will continue to manage #coronavirus crisis decisively. Let’s put aside",2.0
159,1,"10, 17","On Friday, Politico published an article headlined ""Trump rallies his base to treat coronavirus as a ‘hoax.’""The Daily",8.0
160,1,"14, 15, 9",Mike Pence and his coronavirus emergency team praying for a solution. We are so screwed.,10.0
161,1,11,Trudeau throws open doors to welcome Coronavirus to Hamilton One of the thousands of people flying from infected countries,9.0
162,1,"11, 15",Donald Trump’s “brilliant” idea: using flu vaccine to defend against the coronavirus. He really is a dotard. The degree,9.0
163,1,15,"Instead of taking care of #Iranian victims of #Coronavirus, Iran's regime continues its attempts to achieve nuclear weapon",1.0
164,1,17,Democrat Tweets Her Support Of Infecting Large Amounts Of Trump Supporters By Spreading Coronavirus At Trump Rallies,7.0
165,1,"2, 17",BRUTAL. Chelsea Clinton Attempts to Lecture President Trump on Coronavirus -- Gets Destroyed by Trump Supporters and Facts,1.0
166,1,"11, 9",DD6 (sprinkles brown sugar on her oatmeal...) DS8 - you’re gonna get Coronavirus if you eat too much sugar.,10.0
167,1,"15, 5, 9","To loosely quote Stalin, “No Patient Zero, No Problem.” #NorthKorea's 1st confirmed #coronavirus patient, Shot DEAD! For you",2.0
168,1,"2, 3",I had to go to a National Instatute of Health Coronavirus Briefing. Soooo Boring!! But they did show pictures!!,5.0
169,1,"3, 11, 2, 9",CNBC ADVICE NOW: Coronavirus is the flu. Wash your hands. Book a vacation. We’ll look back on this and laugh.,7.0
170,1,"8, 9, 15",brexit: I sure did a great job fuelling xenophobia and racism coronavirus: hold my beer brexit: no,8.0
171,1,"11, 2, 9", @ThePME We all know he has the ability to cure the Coronavirus with one keystroke. But will he use his powers for good????,8.0
172,1,16,Trump Donates Q4 Salary to Health &amp; Human Services to Help CoronaVirus Research,1.0
173,1,"10, 3","Trump is pushing a dangerous, false spin on coronavirus — and some in the media are helping him spread it. My column",4.0
174,1,"2, 11","IF THE #CORONAVIRUS DOESN'T LIVE FOREVER OUTSIDE ITS HOST, THEN WHY SPRAY IF IT'S GOING TO DIE OFF ANYWAY? Disinfection",4.0
175,1,3,The most troubling thing about Coronavirus is that we have an administration in DC that spins one lie after another,5.0
176,1,10,President Trump did NOT call Coronavirus a “Hoax” — He called the way Democrats mischaracterized his response and the U.S,3.0
177,1,"3, 10, 17",Democrats are spreading lies about coronavirus to hurt President Trump. “Trying to score cheap political points is not,1.0
178,1,"8, 9, 16","The Wuhan coronavirus has exposed America’s over-reliance on Chinese manufacturing, from vital medical supplies to electronics. Thanks  @HudsonInstitute  for giving me a chance to discuss this threat to our economy",8.0
179,1,11,"Lumberjack beards carry more germs than dog fur, according to Swiss researchers Enjoy coronavirus, hipsters",7.0
180,1,17,Maybe his entire campaign mission is to thin out the herd by infecting everyone with Coronavirus?,4.0
181,1,10,CREW is requesting CDC communications that might indicate the administration is interfering or attempting to interfere in the release of coronavirus information,5.0
182,1,"11, 4","Idk why this isn’t a stat you see more often with the Coronavirus news but of the 90,000 diagnosed with it since it began",3.0
183,1,4,Trump is putting millions of the most vulnerable people at risk because he wants to pretend the coronavirus is “contained”,6.0
184,1,8," @townhallcom @realDonaldTrump Oh my goodness, @ChrisCuomo, #coronavirus is a foreign virus. Can anyone just cal",3.0
185,1,"1, 2, 11",Incredible news!!! Getting a coronavirus vaccine into Phase 1 of testing has occurred the fastest “that anyone has ever,1.0
186,1,3,California's Democrat Governor Praises @realDonaldTrump's Response To Coronavirus On Cruise Ship: 'Every Single Thing He Said,7.0
187,1,"3, 10, 4",Oh wow: leaked emails suggest Norwegian Cruise Lines is using coronavirus misinformation to persuade customers not to cancel,9.0
188,1,3,The same people who for the last week blasted Trump for not taking coronavirus seriously will now blast him for overreaction,2.0
189,1,3,Childish Trump Won’t Meet With Pelosi On Coronavirus Because He Doesn’t Like Her,10.0
190,1,7,Harvard University is shutting down because of coronavirus. The ruling class goes-home to sit it out. #Corvid19,9.0
191,1,16,British company is offering to pay people $4600 to get infected with coronavirus. Any takers?,10.0
192,1,11,"It’s going to start getting warmer, which means mosquitos are gonna go around and suck the blood of people with Coronavirus",2.0
193,1,"7, 16",The #Coronavirus isn't just a global health emergency. It's a development emergency. It could cost the world economy at least US$,5.0
194,1,11,frank ocean after creating the coronavirus so he wouldn’t have to perform at coachella,5.0
195,1,11,"Middle East respiratory syndrome, also known as camel flu, is a viral respiratory infection caused by the MERS-coronavirus",3.0
196,1,"13, 15",If Pelosi Doesn’t Clean Her Dirty Homeless District She’ll be Responible For the Spread of Coronavirus!,5.0
197,1,"4, 10",By all accounts it looks as though the Government is holding back on on certain information re the coronavirus,7.0
198,1,9,"Have you noticed that @realdonaldtrump is worried that #CoronaVirus is gonna make him ""look bad"", but he's cool with ",6.0
199,1,"11, 16, 6","The PIRBRIGHT Institute Bill Gates Funded The PIRBRIGHT Institute, Which Owns A Patent On Coronavirus; The CDC Owns ",2.0
200,1,"15, 3, 1","If Communist China had not lied about the Coronavirus at the beginning, refused help from the US CDC, and arrested journalists",8.0
201,1,11,"Given copper's antiviral properties, is it time we bring back the penny? #coronavirus #CoronaVirusUpdate #CoronaVirusCanada #CoronavirusPandemic",9.0
202,1,"5, 13, 3", @globalnews Canada will end up the only fuckin country in the world with hundred of thousands of deaths because of this failed PM arse who so afraid to ban or offend anyone carrying the #covid19 virus.,6.0
203,1,"9, 5","Friends tell me I take #COVID19 too seriously, it doesn't kill people our age, ask why I'm social distancing, etc.",3.0
204,1,"3, 16","Could civilization have evolved from our humble beginnings as hunter-gatherers if we then had social media, corporate media, and financial markets that amplify and profit by spreading fear #fridaynightmusings #COVID19",1.0
205,1,15,"Genetically partisan columnist attempts to politicize a global #COVID19 pandemic for the benefit of his boss Doug Ford, gets ratioed into the stone age. #canpoli #cdnpoli #ontpoli #onpoli",10.0
206,1,"3, 4, 8, 9, 7","  @adamsmiller Ppl not paying attn are going to panic every time they see ""coronavirus"". A few days ago, my local hospital reported cases of ""coronavirus"". Not, of course the Wujan variety. And I saw a Quebecer tweet ""eek, we have 8 cases already."" Sometimes details matter.  2/2 #2019nCoV",8.0
207,1,"2, 7, 10", @RubinReport @prayingmedic @benshapiro There was a “health epidemic simulation” on the CORONAVIRUS in Oct 2019. Published online Nov 2019. 1st Cases in the news Dec 2019. From Project 21. More like Agenda 21. Watch video at 14:21. No coincidences! Guess who sponsored it?!!! #coronavirus,9.0
208,1,8,The Wuhan Coronavirus: Have the lessons learned from SARS helped? Join Faculty of Health Sciences experts for a panel discussion,4.0
209,1,8,RT @SuMoh7: The Wuhan Virus: How to Stay Safe Pls retweet. #Wuhan #WuhanVirus #WuhanCoronavirus #Coronavirus #PSA,2.0
210,1,"11, 3","In a world full of anti-vaxxers, there's isn't surprising: A Disturbing Number of People Think Coronavirus Is Related to Corona Beer",2.0
211,1,"8, 11","People could be infected with Wuhan coronavirus and not know, initial study finds",3.0
212,1,"13, 3",All this American media-sponsored hysteria over “”Coronavirus”” like these fucking anti-vaxxers aren’t in our backyard,9.0
213,1,11,"New Projection for #Coronavirus infected cases. Bottom line, it's slowing down. The number of infected cases in the last 3 days",8.0
214,1,"8, 13",People in China eating shit like this and people wondering where the #Coronavirus is coming from,10.0
215,1,"3, 11, 5, 9, 4","I’m seeing much #coronavirus hysteria here and elsewhere. Folks, are you aware that the #flu - yes, the FLU - kills upwards of",8.0
216,1,"8, 7, 11",The last coronavirus (MERS) started in the Middle East. The current one started in China. The next one could start on ,9.0
217,1,9,How do you staff this place? Who wants to work in the Coronavirus hospital? Now accepting applications..#medtwitter,9.0
218,1,"3, 11, 5","Coronavirus terrifies us, but another virus already has killed 6,000 in US, including 39 kids. It's called the flu, but no on",4.0
219,1,10,Fake news alert: RVH says ignore posts saying there is a case of coronavirus here,7.0
220,1,"3, 11","“We should rename influenza; call it XZ-47 virus, or something scarier” -- @DrPaulOffit. The coronavirus from Wuhan is ",5.0
221,1,"9, 10, 1",I know there’s potentially no correlation but isn’t it weird to everyone that the “mistakened” nuclear plant message was sent out and then boom! Coronavirus becomes an epidemic,8.0
222,1,3,Coronavirus inside air passenger excited about Doug Ford’s cuts to public health #onpoli #CoronavirusOutbreak,3.0
223,1,"2, 10",#CORONAVIRUS Leaked Videos From #Wuhan  #China is at MAXIMUM ALERT &amp; we have confirmed Collapse of the hospitals,6.0
